player_name,team,position,assists,goals,minutes_played,red_cards,yellow_cards,season
Iván Balliu,Rayo Vallecano,Defender,2.0,1.0,3148.0,1.0,10.0,s2122
Iván Chapela,Cádiz CF,Midfielder,,,400.0,,,s2122
Iván Marcone,Elche CF,Midfielder,,,805.0,,5.0,s2122
Iván Martín,Girona FC,Midfielder,1.0,,962.0,,,s2122
Iván Romero,Sevilla FC,Forward,,,178.0,,,s2122
Iván Sanz,Deportivo Alavés,Goalkeeper,,,,,,s2122
Isaac Carcelén,Cádiz CF,Defender,1.0,,1545.0,,2.0,s2122
Ignacio Peña Sotorres,FC Barcelona,Goalkeeper,,,,,,s2122
Iñaki Williams,Athletic Club,Forward,5.0,8.0,2786.0,,4.0,s2122
Iñigo Pérez,CA Osasuna,Midfielder,,1.0,334.0,,,s2122
Íñigo Ruíz de Galarreta,RCD Mallorca,Midfielder,,,1386.0,,4.0,s2122
Jaime Mata,Getafe CF,Forward,,1.0,660.0,,7.0,s2122
Jakub Jankto,Getafe CF,Midfielder,2.0,,584.0,1.0,1.0,s2122
Jan Oblak,Atlético de Madrid,Goalkeeper,,,3420.0,,1.0,s2122
Alejandro Orellana Gómez,FC Barcelona,Midfielder,,,,,,s2122
David Remeseiro Salgueiro,Deportivo Alavés,Forward,1.0,,681.0,,1.0,s2122
Jasper Cillessen,Valencia CF,Goalkeeper,1.0,,1458.0,,1.0,s2122
Jaume Costa,RCD Mallorca,Defender,4.0,,1830.0,1.0,5.0,s2122
Jaume Doménech,Valencia CF,Goalkeeper,,,342.0,,2.0,s2122
Jaume Grau,Real Zaragoza,Midfielder,,2.0,734.0,,4.0,s2122
Javier Díaz,Sevilla FC,Goalkeeper,,,90.0,,,s2122
Javier Galán Gil,RC Celta,Midfielder,3.0,,3300.0,,9.0,s2122
Javier Llabrés Expósito,RCD Mallorca,Forward,,,129.0,,,s2122
Javier Martínez,CA Osasuna,Midfielder,1.0,1.0,868.0,,1.0,s2122
Javier Castro,RC Celta,Defender,,,,,,s2122
Javier Guerra,Valencia CF,Midfielder,,,,,,s2122
Javier López,Deportivo Alavés,Defender,,,458.0,,2.0,s2122
Javier Ontiveros,CF Fuenlabrada,Forward,5.0,1.0,1163.0,,7.0,s2122
Javier Pastore,Elche CF,Midfielder,,,523.0,1.0,2.0,s2122
Javier Puado,RCD Espanyol de Barcelona,Midfielder,1.0,4.0,2255.0,,5.0,s2122
Javier Serrano Martínez,Atlético de Madrid,Midfielder,,,66.0,1.0,1.0,s2122
Jeison Murillo,RC Celta,Defender,,,1116.0,1.0,5.0,s2122
Jens Jønsson,Cádiz CF,Midfielder,1.0,,1312.0,,3.0,s2122
Jeremías Ledesma,Cádiz CF,Goalkeeper,,,3420.0,,4.0,s2122
Jesus Lopez,Elche CF,Goalkeeper,,,,,,s2122
Jesús Areso,CA Osasuna,Defender,,,188.0,,1.0,s2122
Jesús Corona,Sevilla FC,Forward,4.0,2.0,1161.0,,2.0,s2122
Jesús Navas,Sevilla FC,Defender,3.0,,1788.0,,4.0,s2122
Jesús Owono,Deportivo Alavés,Goalkeeper,,,90.0,,,s2122
Jesús Santiago,,,,,,,,s2122
Jesús Vallejo,Real Madrid,Defender,,,342.0,,1.0,s2122
Jesús Vázquez,Valencia CF,Defender,,,812.0,,,s2122
Joan García,RCD Espanyol de Barcelona,Goalkeeper,,,107.0,,,s2122
Joan Jordán,Sevilla FC,Midfielder,1.0,,2527.0,,9.0,s2122
Joan Rojas,Atlético de Madrid,Defender,,,,,,s2122
Joan Sastre,,,,,,,,s2122
Joaquín Sánchez Rodríguez,Real Betis,Forward,1.0,,455.0,,,s2122
Joel Robles,Real Betis,Goalkeeper,,,,,,s2122
Jofre Carreras,RCD Espanyol de Barcelona,Forward,1.0,,17.0,,,s2122
Johan Mojica,Elche CF,Midfielder,5.0,2.0,2856.0,,4.0,s2122
John Chetauya Nwankwo Donald,Elche CF,Defender,,,180.0,,,s2122
John Guidetti,Deportivo Alavés,Forward,,,274.0,,2.0,s2122
John Patrick,Getafe CF,Midfielder,,,,,,s2122
Jokin Ezkieta,Athletic Club,Goalkeeper,,,,,,s2122
