player_name,team,position,minutes_played,goals,assists,yellow_cards,red_cards,Shots per 90,Tackles per 90,Total Saves,Total Interceptions,Pass Success (%),Fouls Committed per 90,Expected Goals (xG),Clean Sheets,Big Chances Created,FotMob Rating
Andoni Gorosabel,Alavés,Not Available,2863,1,0,6,0,0.5,1.3,0,28,82.0,0.9,0.7,0,3,6.9
Andreas Christensen,Barcelona,Not Available,1990,2,2,4,0,0.5,0.6,0,21,94.3,1.2,1.2,0,2,6.96
Andrei Ratiu,Rayo Vallecano,Not Available,627,0,0,1,0,,,0,0,,,0.4,0,1,
Andriy Lunin,Real Madrid,Not Available,1890,0,0,2,0,,,48,0,85.2,,,10,0,7.14
André Almeida,Valencia CF,Not Available,969,2,1,0,0,,,0,0,,,0.6,0,2,
André Ferreira,Granada CF,Not Available,1339,0,0,1,0,,,0,0,,,,0,0,
André Silva,Real Sociedad,Not Available,730,3,0,1,0,2.0,0.2,0,1,81.9,1.7,4.0,0,0,
Andrés Guardado,Real Betis,Not Available,442,0,0,2,0,,,0,0,,,0.1,0,0,
Ansu Fati,Barcelona,Not Available,47,0,0,0,0,,,0,0,,,0.7,0,0,
Antal Yaakobishvili,Girona,Not Available,60,0,0,0,0,,,0,0,,,,0,1,
Ante Budimir,Osasuna,Not Available,2449,17,2,4,0,2.8,0.6,0,5,54.8,1.5,14.2,0,4,7.1
Anthony Lozano,Almería,Not Available,866,3,0,2,0,2.8,0.5,0,2,73.3,2.9,3.5,0,2,
Antoine Griezmann,Atlético de Madrid,Not Available,2654,16,6,5,0,2.7,0.6,0,10,82.7,0.5,12.4,0,10,7.54
Antonio Blanco,Alavés,Not Available,2436,0,1,5,1,0.7,1.3,0,35,77.9,1.3,0.8,0,3,6.86
Antonio Puertas,Granada CF,Not Available,720,0,2,3,1,2.4,1.0,0,6,77.8,2.6,3.2,0,0,
Antonio Raíllo,Mallorca,Not Available,2198,3,2,4,1,1.2,0.9,0,37,85.8,1.3,1.4,0,3,7.08
Antonio Rüdiger,Real Madrid,Not Available,2707,1,0,7,0,0.6,0.5,0,11,90.0,0.9,1.6,0,3,6.88
Antonio Sivera,Alavés,Not Available,3060,0,0,3,0,,,87,0,54.7,,,10,0,6.8
Antonio Sánchez,Mallorca,Not Available,1463,3,1,3,0,1.4,0.7,0,13,73.5,1.6,2.5,0,1,6.6
Arda Güler,Real Madrid,Not Available,373,6,0,1,0,,,0,0,,,1.4,0,0,
Aridane Hernández,Rayo Vallecano,Not Available,1691,0,0,3,0,0.3,0.4,0,14,85.8,0.6,0.3,0,0,6.69
Aritz Elustondo,Real Sociedad,Not Available,808,0,1,2,0,,,0,0,,,0.3,0,1,
